dropout,learning_rate,training_epoch,training_accuracy,testing_accuracy
0.7,0,10,0.617,0.577
0.7,0,20,0.72,0.661
0.7,0,30,0.733,0.677
0.7,0,50,0.815,0.723
0.7,0,100,0.894,0.801
0.7,0.001,10,0.788,0.715
0.7,0.001,20,0.84,0.759
0.7,0.001,30,0.898,0.787
0.7,0.001,50,0.908,0.823
0.7,0.001,100,0.93,0.845
0.7,0.001,10,0.845,0.755
0.7,0.001,20,0.896,0.809
0.7,0.001,30,0.905,0.814
0.7,0.001,50,0.926,0.833
0.7,0.001,100,0.936,0.85
0.7,0.005,10,0.885,0.805
0.7,0.005,20,0.902,0.827
0.7,0.005,30,0.865,0.806
0.7,0.005,50,0.858,0.811
0.7,0.005,100,0.333,0.306
0.7,0.01,10,0.879,0.759
0.7,0.01,20,0.891,0.791
0.7,0.01,30,0.293,0.257
0.7,0.01,50,0.308,0.303
0.7,0.01,100,0.191,0.182
0.7,0.05,10,0.38,0.354
0.7,0.05,20,0.377,0.353
0.7,0.05,30,0.192,0.182
0.7,0.05,50,0.192,0.183
0.7,0.05,100,0.191,0.182
0.7,0.1,10,0.364,0.335
0.7,0.1,20,0.191,0.182
0.7,0.1,30,0.191,0.182
0.7,0.1,50,0.191,0.182
0.7,0.1,100,0.191,0.182
0.75,0,10,0.651,0.589
0.75,0,20,0.753,0.685
0.75,0,30,0.792,0.705
0.75,0,50,0.865,0.784
0.75,0,100,0.907,0.825
0.75,0.001,10,0.8,0.726
0.75,0.001,20,0.883,0.771
0.75,0.001,30,0.905,0.815
0.75,0.001,50,0.936,0.831
0.75,0.001,100,0.927,0.851
0.75,0.001,10,0.87,0.775
0.75,0.001,20,0.896,0.781
0.75,0.001,30,0.929,0.843
0.75,0.001,50,0.935,0.861
0.75,0.001,100,0.911,0.843
0.75,0.005,10,0.9,0.808
0.75,0.005,20,0.914,0.829
0.75,0.005,30,0.903,0.82
0.75,0.005,50,0.907,0.829
0.75,0.005,100,0.192,0.182
0.75,0.01,10,0.89,0.8
0.75,0.01,20,0.889,0.823
0.75,0.01,30,0.849,0.776
0.75,0.01,50,0.202,0.212
0.75,0.01,100,0.191,0.182
0.75,0.05,10,0.41,0.384
0.75,0.05,20,0.192,0.181
0.75,0.05,30,0.324,0.303
0.75,0.05,50,0.191,0.182
0.75,0.05,100,0.191,0.182
0.75,0.1,10,0.37,0.34
0.75,0.1,20,0.343,0.328
0.75,0.1,30,0.244,0.251
0.75,0.1,50,0.191,0.182
0.75,0.1,100,0.192,0.182
0.8,0,10,0.682,0.628
0.8,0,20,0.746,0.662
0.8,0,30,0.807,0.737
0.8,0,50,0.859,0.787
0.8,0,100,0.923,0.814
0.8,0.001,10,0.843,0.741
0.8,0.001,20,0.879,0.784
0.8,0.001,30,0.912,0.824
0.8,0.001,50,0.936,0.866
0.8,0.001,100,0.939,0.852
0.8,0.001,10,0.871,0.79
0.8,0.001,20,0.92,0.833
0.8,0.001,30,0.928,0.831
0.8,0.001,50,0.93,0.848
0.8,0.001,100,0.925,0.865
0.8,0.005,10,0.915,0.836
0.8,0.005,20,0.914,0.839
0.8,0.005,30,0.902,0.847
0.8,0.005,50,0.471,0.405
0.8,0.005,100,0.378,0.363
0.8,0.01,10,0.9,0.819
0.8,0.01,20,0.873,0.806
0.8,0.01,30,0.235,0.226
0.8,0.01,50,0.284,0.293
0.8,0.01,100,0.191,0.182
0.8,0.05,10,0.396,0.38
0.8,0.05,20,0.364,0.358
0.8,0.05,30,0.191,0.182
0.8,0.05,50,0.192,0.182
0.8,0.05,100,0.191,0.181
0.8,0.1,10,0.192,0.182
0.8,0.1,20,0.192,0.182
0.8,0.1,30,0.192,0.181
0.8,0.1,50,0.192,0.181
0.8,0.1,100,0.191,0.182
0.85,0,10,0.72,0.665
0.85,0,20,0.792,0.699
0.85,0,30,0.841,0.754
0.85,0,50,0.884,0.813
0.85,0,100,0.925,0.843
0.85,0.001,10,0.858,0.755
0.85,0.001,20,0.913,0.829
0.85,0.001,30,0.933,0.834
0.85,0.001,50,0.933,0.831
0.85,0.001,100,0.945,0.868
0.85,0.001,10,0.879,0.763
0.85,0.001,20,0.92,0.835
0.85,0.001,30,0.924,0.825
0.85,0.001,50,0.921,0.84
0.85,0.001,100,0.909,0.853
0.85,0.005,10,0.922,0.846
0.85,0.005,20,0.924,0.849
0.85,0.005,30,0.911,0.826
0.85,0.005,50,0.895,0.827
0.85,0.005,100,0.206,0.197
0.85,0.01,10,0.913,0.823
0.85,0.01,20,0.393,0.369
